Regiones;Total de Número de Empresas;Suma de Renta neta informada en UF;Cuenta de Ventas Anuales en UF
2017;1176486;1847129651;353
Región Aisén del Gral.Carlos Ibáñez del Campo;9208;3406574,52;21
Región de Antofagasta;34055;40029200,15;21
Región de Arica y Parinacota;16274;7606237,7;21
Región de Atacama;17370;16821258,39;20
Región de Coquimbo;44835;30024791,2;22
Región de La Araucanía;56448;34904570,79;21
Región de Los Lagos;59757;43826396,26;21
Región de Los Ríos;24264;14964139,41;21
Región de Magallanes y de la Antártica Chilena;13144;8779693,59;21
Región de Ñuble;31260;14811256,74;21
Región de Tarapacá;20700;13575292,72;20
Región de Valparaíso;114732;100817870,4;22
Región del Biobío;86937;75102482,04;21
Región del Libertador Gral. Bernardo O’Higgins;61957;43097528,58;21
Región del Maule;76881;38004071,16;21
Región Metropolitana de Santiago;507461;1361350385;22
Sin Información;1203;7902,143;16
2018;1268700;1936882058;354
Región Aisén del Gral.Carlos Ibáñez del Campo;9986;3351133,372;21
Región de Antofagasta;36578;41764429,77;21
Región de Arica y Parinacota;16830;8130382,573;21
Región de Atacama;18653;14248722,09;22
Región de Coquimbo;48397;29210672,71;22
Región de La Araucanía;60972;34762320,75;21
Región de Los Lagos;64753;46047076,78;21
Región de Los Ríos;26398;14121990,65;21
Región de Magallanes y de la Antártica Chilena;14322;9359670,609;21
Región de Ñuble;33261;18066746,6;20
Región de Tarapacá;22172;13961545,15;20
Región de Valparaíso;123456;100615407,1;22
Región del Biobío;93993;77801008,07;21
Región del Libertador Gral. Bernardo O’Higgins;66112;43625254,28;21
Región del Maule;82108;48190932,18;20
Región Metropolitana de Santiago;549792;1433614083;22
Sin Información;917;10683,135;17
2019;1315727;2023358036;355
Región Aisén del Gral.Carlos Ibáñez del Campo;10361;3379901,23;21
Región de Antofagasta;37428;42855657,99;21
Región de Arica y Parinacota;16896;6646359,376;21
Región de Atacama;18998;19084443,18;20
Región de Coquimbo;50029;28149349,92;22
Región de La Araucanía;63003;34682616,68;21
Región de Los Lagos;67351;50419334,77;21
Región de Los Ríos;27377;14535595,07;21
Región de Magallanes y de la Antártica Chilena;14813;10010027,34;21
Región de Ñuble;34631;19416373,53;20
Región de Tarapacá;22596;15163109,37;20
Región de Valparaíso;127797;105253191,3;22
Región del Biobío;97106;80687387,04;22
Región del Libertador Gral. Bernardo O’Higgins;68163;46160200,26;22
Región del Maule;85566;51290308,45;20
Región Metropolitana de Santiago;572709;1495554339;22
Sin Información;903;69842,046;18
2020;1332049;1915729858;356
Región Aisén del Gral.Carlos Ibáñez del Campo;10448;3592844,234;21
Región de Antofagasta;37431;41048110,91;21
Región de Arica y Parinacota;16462;8182731,137;21
Región de Atacama;18942;19080933,39;20
Región de Coquimbo;50772;29865248,72;21
Región de La Araucanía;64025;33918853,37;21
Región de Los Lagos;68730;51222863,2;22
Región de Los Ríos;27703;15386779,22;21
Región de Magallanes y de la Antártica Chilena;15012;9223550,516;21
Región de Ñuble;34797;19134272,44;20
Región de Tarapacá;22445;13113059,84;21
Región de Valparaíso;129108;98034814,71;22
Región del Biobío;97894;78660250,72;22
Región del Libertador Gral. Bernardo O’Higgins;69216;46163358,45;21
Región del Maule;86764;42888359,27;21
Región Metropolitana de Santiago;581478;1406198186;22
Sin Información;822;15641,3;18
2021;1445399;2069411390;357
Región Aisén del Gral.Carlos Ibáñez del Campo;11313;3858770,732;21
Región de Antofagasta;40291;44797031,64;21
Región de Arica y Parinacota;17296;8147839,427;21
Región de Atacama;20328;17688653,41;21
Región de Coquimbo;55352;33784902,71;22
Región de La Araucanía;69536;39310491,26;21
Región de Los Lagos;74849;55904349,71;21
Región de Los Ríos;30364;16366650,32;21
Región de Magallanes y de la Antártica Chilena;16302;7537679,32;21
Región de Ñuble;37121;20800151,16;20
Región de Tarapacá;24178;14367862,08;21
Región de Valparaíso;140424;105404932;22
Región del Biobío;105760;84165995,03;22
Región del Libertador Gral. Bernardo O’Higgins;75012;50003180,11;22
Región del Maule;94002;44947677,65;21
Región Metropolitana de Santiago;632517;1522295841;22
Sin Información;754;29382,651;17
2022;1384990;2014380746;326
Región Aisén del Gral.Carlos Ibáñez del Campo;12058;3870033,177;21
Región de Antofagasta;38535;43728538,43;20
Región de Arica y Parinacota;16280;8074765,162;19
Región de Atacama;19418;11796599,05;15
Región de Coquimbo;51590;31587345,16;18
Región de La Araucanía;72654;39413603,24;19
Región de Los Lagos;61699;42703336,42;18
Región de Los Ríos;32084;16573392,88;21
Región de Magallanes y de la Antártica Chilena;16838;8442905,754;20
Región de Ñuble;38290;18044022,97;20
Región de Tarapacá;24932;16179486,57;21
Región de Valparaíso;133982;107619170,5;20
Región del Biobío;93330;75610111,4;19
Región del Libertador Gral. Bernardo O’Higgins;77498;52147288,18;19
Región del Maule;96854;45246704,56;20
Región Metropolitana de Santiago;598515;1493339434;19
Sin Información;433;4009,166;17
Total;7.923.351;11.806.891.739;2.101
